T,surface area per droplet (cm^2),surface area error
-10.41,0.306593003,0.033779807
-10.47,,
-10.59,,
-11.5,,
-12.85,,
-14.37,,
-14.55,,
-14.77,,
-15.04,,
-15.81,,
-16.05,,
-16.12,,
-16.47,,
-16.82,,
-17.07,,
-17.08,,
-17.18,,
-17.21,,
-17.44,,
-17.85,,
-18.11,,
-18.2,,
-18.3,,
-18.3,,
-18.41,,
-18.83,,
-19.04,,
-19.04,,
-19.52,,
-19.62,,
-19.72,,
-19.82,,
-19.91,,
-19.91,,
-19.96,,
-20.05,,
-20.08,,
-20.11,,
-20.32,,
-20.44,,
-20.53,,
-20.56,,
-20.7,,
-20.72,,
-20.92,,
-20.95,,
-21.05,,
-21.08,,
-21.21,,
-21.55,,
-21.61,,
-21.61,,
-21.63,,
-21.64,,
-21.64,,
-21.69,,
-21.72,,
-21.86,,
-21.86,,
-21.99,,
-22,,
-22.31,,
-22.34,,
-22.34,,
-22.34,,
-22.39,,
-22.47,,
-22.51,,
-22.59,,
-22.62,,
-22.67,,
-22.71,,
-22.73,,
-22.74,,
-22.75,,
-22.77,,
-22.87,,
-22.92,,
-22.97,,
-23.06,,
-23.09,,
-23.14,,
-23.36,,
-23.42,,
-23.44,,
-23.6,,
-23.65,,
-23.67,,
-23.69,,
-23.76,,
-23.85,,
-23.96,,
-24.12,,
-24.21,,
-24.24,,
-24.26,,
-24.28,,
-24.38,,
-24.8,,
-25.1,,
-25.5,,
